Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german,latam,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese,spanish
h7sb_ssTip_title,desc,main,,,"H7SB [FFB6C1]Seats[-] Mod",,"H7SB [FFB6C1]Seats[-] Mod","H7SB [FFB6C1] Seats [-] Mod","H7SB [ FFB6C1 ] Sièges [-] Mod","H7SB [ FFB6C1] Seats [ -] Mod","「 H7SB [FFB6C1]Seats[-] Mod」","H7SB [FFB6C1] Seats [-] Mod","H7SB [ FFB6C1] Fotele [-] mod","H7SB [FFB6C1] Seats [-] Mod","H7SB [ FFB6C1] Сиденья [-] Мод","H7SB [ FFB6C1] Koltuklar [-] Mod","H7SB [FFB6C1]座位[-] mod","H7SB [FFB6C1]Seats[-] Mod","H7SB [FFB6C1] asientos [-] mod"
h7sb_ssTip,desc,main,,,"[FFB6C1]╔[-] Seating \n[FFB6C1]╠[-] Single Seater: Stool / Folding Chair / Office Chair / 4x Armchair \n[FFB6C1]╠ [-]Two-Seater: 2x Park Bench \n[FFB6C1]╠[-] Three-Seater: 2x sofas \n[FFB6C1]╚[-] Seating can be placed (RMB) to sit on by pressing the E button. The center of the 'bicycle' is usually also the middle of the seat the E button and selection of the hand symbol you can pickup the item again. \n\n[FFB6C1]www.eihwaz.de[-] // [ff0000]I need help with localization![-]",,"[FFB6C1]╔[-] Sitzgelegenheiten \n[FFB6C1]╠[-] Einsitzer: Hocker / Klappstuhl / Chefsessel / 4x Sessel \n[FFB6C1]╠[-] Zweisitzer: 2x Parkbank \n[FFB6C1]╠[-] Dreisitzer: 2x Sofas \n[FFB6C1]╚[-] Sitzgelegenheiten können platziert (RMB) werden, um sich durch drücken der E-Taste darauf zu setzten. Der Mittelpunkt des `Fahrrads´ ist idR ebenfalls die Mitte des Sitzes. Durch langes drücken der E-Taste und Auswahl des Hand-Symbols kann man den Gegenstand wieder aufheben. \n\n[FFB6C1]www.eihwaz.de[-]","[FFB6C1] [-] Seating \n [FFB6C1] érito [-] Single Seater: Stool / Folding Chair / Office Chair / Office Chair / 4x Armchair \n [FFB6C1] érito [-] Two-Seater: 2x Park Bench \n [FFB6C1] assentos [-] Três-Seater: 2x sofás \n [FFB6C1] assentos [-] Seating pode ser colocado (RMB) para sentar-se pressionando o botão E. O centro da 'bicicleta' costuma ser também o meio do assento o botão E e a seleção do símbolo da mão você pode recolicar o item novamente. \n\n [FFB6C1] www.eihwaz.de [-] // [ff0000] Eu preciso de ajuda com a localização! [-]","[ FFB6C1 ] c: [-] Seating \n [ FFB6C1 ] c: [-] Single Seater: Stool / Folding Chair / Office Chair / 4x Armchair \n [ FFB6C1 ] c: [-] Two-Seater: 2x Park Bench \n [ FFB6C1 ] c: [-] Three-Seater: 2x sofas \n [ FFB6C1 ] Saïf [-] Seating can be placed (RMB) to sit on by pressant the E button. Le centre de la 'bicyclette' est généralement aussi le milieu du siège le bouton E et la sélection du symbole de la main vous pouvez repasser l'élément. \n\n [ FFB6C1 ] www.eihwaz.de [-] // [ ff0000 ] J'ai besoin d'aide pour la localisation ! [-]","[ FFB6C1] Dettagli [ -] Seating \n [ FFB6C1] >[ -] Single Seater: Stool / Folding Chair / Office Chair / 4x Armchair \n [ FFB6C1] >[ -] Due - Seater: 2x Park Bench \n [ FFB6C1] >[ -] Tre - Seater: 2x sofas \n [ FFB6C1] >[ -] Seating può essere posizionato (RMB) per sedersi premendo il pulsante E. Il centro della 'bicicletta' è di solito anche la metà del sedile il pulsante E e la selezione del simbolo della mano è possibile pickup di nuovo l'articolo. \n\n [ FFB6C1] www.eihwaz.de [ -] // [ ff0000] Ho bisogno di aiuto con la localizzazione! [ -]","[ [ FFB6C1 ]] [ [ FFB6C1]] [ [ FFB6C1 ]] [ [ FFB6C1 ]] [ -] シングル・セーター: Stool / Folding Chair / Office 議長 /4x AR椅子 \n[FFB6C1]: 2 つのセーター : 2x スパーク \n[FFB6C1]: [ -] [ -] [ - ] [ - ] [ -] [ -] [ -] [ -] を押すことにより、 [ -] を押すことができます。 [ -] [ -] セーティングは、 [ E ] ボタンを押すことにより、オンにすることができます。 「自転車」の中心は通常、「 E 」ボタンの真ん中にあり、手のシンボルを選択することで、もう一度アイテムを漬けることができます。 \n\n[FFB6C1 ]www.eihwaz.de[-] // [ff0000]私はローカリゼーションのヘルプが必要です ![-]","[FFB6C1] [-] [-] 선 [-] 선 [-] 선 [-] 단일 시터: 도구/폴딩 의자/사무용 의자/4x암의자 \n [FFB6C1] [] 트루-시터: 2x Park Bench \n [FFB6C1] [-] 3-세터: 2x소파: 2x소파 (FFB6C1): [-] 시팅 (Seating) 은 E 버튼을 누름으로써 (RMB) 위치에 놓을 수 있다. '자전거' 의 중심은 일반적으로 E 버튼의 중간에 위치하고 있으며, 손 기호를 선택할 수 있으며, 아이템을 다시 픽업할 수 있다. [~] www.eihwaz.de [-] // [ff0000] 을 (를) 현지화하는 데 도움이 필요합니다. [-]","[ FFB6C1] Wózek [-] Siedzenia \n [ FFB6C1] Wózek [-] Jednopoosobowy: Stool/Krzesło Składane/Krzesło Biurowe/4x Fotel \n [ FFB6C1] [-] Dwumiejscowy: 2x Park Ławeczkowy \n [ FFB6C1] [-] Trzy-Seater: 2x sofy \n [ FFB6C1] [-] Siedzenie można umieścić (RMB), aby usiąść na przyciskaniu przycisku E. Środek 'roweru' jest zazwyczaj również środkiem siedzenia, przycisk E i wybór symbolu strony, można odebrać pozycję ponownie. \n\n [ FFB6C1] www.eihwaz.de [-] // [ ff0000] potrzebna mi pomoc w lokalizacji! [-]","[FFB6C1] [-] Seating \n [FFB6C1] érito [-] Single Seater: Stool / Folding Chair / Office Chair / Office Chair / 4x Armchair \n [FFB6C1] érito [-] Two-Seater: 2x Park Bench \n [FFB6C1] assentos [-] Três-Seater: 2x sofás \n [FFB6C1] assentos [-] Seating pode ser colocado (RMB) para sentar-se pressionando o botão E. O centro da 'bicicleta' costuma ser também o meio do assento o botão E e a seleção do símbolo da mão você pode recolicar o item novamente. \n\n [FFB6C1] www.eihwaz.de [-] // [ff0000] Eu preciso de ajuda com a localização! [-]","[ FFB6C1] Folds [-] Sating \n [ FFB6C1] Folds [-] Одиночный Seater: Stool/Складское Кресло/Офисный Стул/4x Armchair \n [ FFB6C1] Folds [-] Two-Seater: 2x Park Bench \n [ FFB6C1] big [-] Three-Seater: 2x sofas \n [ FFB6C1] armit [-] Seating можно разместить (RMB), чтобы сидеть, нажав кнопку E. В центре 'велосипеда' обычно также находится середина сидения кнопки Е и подбор символа руки, который вы можете снова пикать. \n\n [ FFB6C1] www.eihwaz.de [-] // [ ff0000] Мне нужна помощь с локализацией! [-]","[ FFB6C1] [-] oturma düzeni [-] oturma \n [ FFB6C1]] [-] single Seater: dışkı/katlanır sandalye/ofis sandalyesi/4x kolletici \n [ FFB6C1] Falan [-] Çift Kişilik: 2x Park Bank \n [ FFB6C1] [-] Üç Seater: 2x sofra \n [ FFB6C1] [-] Seating, E düğmesine basarak oturmak için (RMB) yerleştirilebilir. 'bisiklet' in merkezi genellikle, e düğmesinin e düğmesinin ortası ve öğeyi tekrar alabileceğiniz el simgürünün seçilidir. \n\n [ FFB6C1] www.eihwaz.de [-] // [ ff0000] yerelleştirmeyle ilgili yardıma ihtiyacım var! [-]","[FFB6C1].[-] Seating \n[FFB6C1].[-] Single Seater: Stool / Folding Chair / Office 主席 / 4x Armschair \n[FFB6C1]. [-]双座机 : 2x Park Bench \n[FFB6C1].[-] Three- Seater: 2x sofas \n[FFB6C1].[-] Seating 可以通过按 E 按钮来放置 (人民币) 。 '自行车 ' 的中心通常也是 ' E ' 按钮和选择手符号的中间位置，您可以重新拾取该项。 \n\n[FFB6C1]www.eihwaz.de[-] // [ff0000]我需要有助于本地化![-]","[FFB6C1][ -] Seing \n[FFB6C1][ -] Single Seater： Stool / Folding Chair / Office Chair \n [ FFB6C1 ][ -]TwoSeater ： 2x Park Bench \n[FFB6C1 ][ -] 3 - Seater： 2x sofas \n[FFB6C1][ -] Seing 可放置（人民幣），以按下 E 按鈕即可坐上。 「自行車」的中心通常也是座椅的中間位置 E 按鈕和手符號的選擇，您可以再次拿取商品。 \n\n[FFB6C1]www.eihwaz.de[-] // [ff0000]I nd help with localization！[-]","[FFB6C1] [-] asientos [-] de [-] asientos [FFB6C1] [-] Monoplaza [-] Monoplaza: Taburete/Silla Plegable/Silla De Oficina/Sillón 4x \n [FFB6C1] [-] Dos Asientos: 2x Banco Del Parque \n [FFB6C1] [-] Tres Plazas: 2x sofás \n [FFB6C1] [-] Se puede colocar el asiento (RMB) para sentarse pulsando el botón E. El centro de la 'bicicleta' es por lo general también el centro del asiento el botón E y la selección del símbolo de la mano que puede recoger el elemento de nuevo. \n\n [FFB6C1] www.eihwaz.de [-] // [ff0000] Necesito ayuda con la localización! [-]"
h7sb_ssItems,item,desc,,,"This item can be placed to sit on (E). The middle of the bike is usually the later middle of the block. \n\nBy long press (E) the block can be pick up again.",,"Dieser Gegenstand kann platziert werden um sich darauf zu setzen (E). Die Mitte des Fahrrads ist idR die spätere Mitte des Blocks. \n\nDurch langes drücken (E) kann der Block wieder aufgehoben werden.","Este item pode ser colocado para sentar em (E). O meio da moto costuma ser o meio posterior do bloco. \n \nPor longa imprensa (E) o bloco pode ser captado novamente.","Ce point peut être placé sur (E). Le milieu du vélo est généralement le milieu plus tard du bloc. \n \nBy long presse (E) le bloc peut être à nouveau ramasser.","Questo articolo può essere posizionato per sedersi su (E). Il mezzo della bici è di solito il mezzo più tardi del blocco. \n \nPer la stampa lunga (E) il blocco può essere ripreso di nuovo '.","この項目は、 ( E) の上に配置することができます。 自転車の中央は通常、ブロックの後半部にある。 \n\nロング・プレス (E) を使用して、ブロックを再度ピックアップできます。","이 품목은 (E) 에 앉을 수 있습니다. 자전거의 중간은 대개 블록의 뒷중간이다. 긴 프레스 (E) 를 통해 블록을 다시 픽업할 수 있습니다.","Ten element może być umieszczony w miejscu (E). Środek roweru jest zwykle późniejszy środek bloku. \n \nPrzez długie naciśnięcie (E) blok może być ponownie odbierany.","Este item pode ser colocado para sentar em (E). O meio da moto costuma ser o meio posterior do bloco. \n \nPor longa imprensa (E) o bloco pode ser captado novamente.","Этот пункт может быть помещен на (E). Середина велосипеда, как правило, посредине квартала. \n \nПри длительной печати (E) блок можно снова выбрать.","Bu öğe, üzerinde oturabilir (E). Bisikletin ortası genellikle bloğun daha sonraki bir ortasıdır. \n \nUzun basın tarafından (E) bloğun yeniden toplanabileceği.","这个项目可以放在 (E)上。 自行车的中间通常是块的后面中间。 \n\n 长按 (E) ，块可以再次拾取。","這個項目可以放置在（ E）上。 自行車的中間通常是街區後的中間部分。 \n\nBy 長按（E）區塊可以重新取貨。」","Este artículo puede ser colocado para sentarse en (E). El centro de la moto suele ser el centro posterior del bloque. \n \nPor una pulsación larga (E), el bloque puede volver a recogerlo."
h7sb_chefsessel,items,vehicle,,,"Office chair",,"Chefsessel","cadeira de escritório","Présidence du bureau","sedia di ufficio","「オフィス・チェア」","사무실 의자","Krzesło biurowe","cadeira de escritório","Офисное кресло","Ofis başkanı","办公椅","辦公椅","Presidente de la Oficina"
h7sb_klappstuhl,items,vehicle,,,"Folding chair",,"Klappstuhl","cadeira de dobramento","Chaise de pliage","sedia da Folding","「折り畳んだ椅子」","폴딩 의자","Krzesło składane","cadeira de dobramento","Складной стул","Katlanabilir Sandalye","折叠椅","摺疊椅","silla plegable"
h7sb_holzhocker,items,vehicle,,,"Wooden stool",,"Holzhocker","Fezes de madeira","Poêle en bois","Sgabello di legno","「ウッデン・ストール」","우덴 스토폴","Drewniany stołek","Fezes de madeira","Деревянный табун","Tahta dışkı","木凳","木凳","taburete de madera"
h7sb_sessel,items,vehicle,,,"Armchair",,"Stoffsessel","Armadeira","Fauteuil","Armsedia","「アームチェア」","안락의자","Krzesło","Armadeira","Армкресло","Koltuk","盔甲","盔甲","Sillón"
h7sb_sessel1,items,vehicle,,,"Leather armchair",,"Ledersessel","Poltrona de couro","Fauteuil en cuir","Bracciale in pelle","「レザー・アームチェアー」","가죽 의자","Krzesło Skórzane","Poltrona de couro","Кожаное кресло","Deri koltuk.","皮革扶手椅","皮革扶手椅","Sillón de cuero"
h7sb_sessel2,items,vehicle,,,"Armchair",,"Stoffsessel","Armadeira","Fauteuil","Armsedia","「アームチェア」","안락의자","Krzesło","Armadeira","Армкресло","Koltuk","盔甲","盔甲","Sillón"
h7sb_sessel3,items,vehicle,,,"Leather armchair",,"Ledersessel","Poltrona de couro","Fauteuil en cuir","Bracciale in pelle","「レザー・アームチェアー」","가죽 의자","Krzesło Skórzane","Poltrona de couro","Кожаное кресло","Deri koltuk.","皮革扶手椅","皮革扶手椅","Sillón de cuero"
