Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german,spanish,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese
dialog_trader_response_bad_encounter,Quest,Dialogs,,,I had a run-in with them earlier. It did not go well.,,Ich hatte früher einen Run-In mit ihnen. Es lief nicht gut.,Tuve un encuentro con ellos antes. No salió bien.,J'ai eu une altercation avec eux plus tôt. Cela ne s'est pas bien passé.,Ho avuto un incontro con loro prima. Non è andata bene.,私は以前に彼らと慣らしをしました。うまくいきませんでした。,나는 일찍 그들과 부딪 쳤습니다. 잘되지 않았다.,Miałem z nimi spotkanie wcześniej. Nie poszło dobrze.,Eu tive um encontro com eles antes. Não correu bem.,У меня была стычка с ними раньше. Все прошло не очень хорошо.,Onlarla daha önce karşılaştım. İyi gitmedi.,我早些时候和他们发生了冲突。进行得并不顺利。,我早些時候和他們發生了衝突。進行得併不順利。
dialog_trader_response_cassadores_name,Quest,Dialogs,,,Why are they called Cassadores?,,Warum heißen sie Cassadores?,¿Por qué se llaman Cassadores?,Pourquoi sont-ils appelés Cassadores?,Perché si chiamano Cassadores?,なぜ彼らはカサドレスと呼ばれるのですか？,그들은 왜 Cassadores라고 불립니까?,Dlaczego nazywają się Cassadores?,Por que eles são chamados de caçadores?,Почему их называют кассадорами?,Neden onlara Cassadores deniyor?,他们为什么叫卡萨多斯（Cassadores）？,他們為什麼叫卡薩多斯（Cassadores）？
dialog_trader_response_cassadores_relationship,Quest,Dialogs,,,What is your relationship with the Cassadores?,,Wie ist Ihre Beziehung zu den Cassadores?,¿Cuál es su relación con los Cassadores?,Quelle est votre relation avec les Cassadores?,Qual è il tuo rapporto con i Cassadores?,カサドーレスとの関係は？,카사 도르와의 관계는 어떻습니까?,Jaki jest twój związek z Cassadores?,Qual é a sua relação com os caçadores?,Каковы ваши отношения с Кассадорами?,Cassadores ile ilişkiniz nedir?,您与卡萨多人有什么关系？,您與卡薩多人有什麼關係？
dialog_trader_response_male_history,Quest,Dialogs,,,What did he do before the apocalypse?,,Was hat er vor der Apokalypse getan?,¿Qué hizo antes del apocalipsis?,Qu'a-t-il fait avant l'apocalypse?,Cosa ha fatto prima dell'apocalisse?,彼は黙示録の前に何をしましたか？,종말 전에 그는 무엇을 했습니까?,Co robił przed apokalipsą?,O que ele fez antes do apocalipse?,Что он делал до апокалипсиса?,Kıyametten önce ne yaptı?,在天启之前他做了什么？,在天啟之前他做了什麼？
dialog_trader_response_male_motive,Quest,Dialogs,,,What does he want?,,Was will er?,¿Qué es lo que quiere?,Que veut-il?,Cosa vuole?,彼は何がしたいの？,그는 무엇을 원합니까?,Czego on chce?,O que ele quer?,Что он хочет?,Ne istiyor?,他想要什么？,他想要什麼？
dialog_trader_response_noah_leader,Quest,Dialogs,,,How did he become the leader of Whiteriver?,,Wie wurde er der Anführer von Whiteriver?,¿Cómo se convirtió en el líder de Whiteriver?,Comment est-il devenu le leader de Whiteriver?,Come è diventato il leader di Whiteriver?,彼はどのようにしてホワイトリバーのリーダーになりましたか？,그는 어떻게 화이트 리버의 리더가 되었습니까?,Jak został liderem Whiteriver?,Como ele se tornou o líder de Whiteriver?,Как он стал лидером Whiteriver?,Whiteriver'in lideri nasıl oldu?,他如何成为Whiteriver的领导者？,他如何成為Whiteriver的領導者？
dialog_trader_response_noah_relationship,Quest,Dialogs,,,What is your relationship with Noah?,,Wie ist deine Beziehung zu Noah?,¿Cuál es tu relación con Noah?,Quelle est votre relation avec Noah?,Qual è il tuo rapporto con Noah?,ノアとの関係はどうですか？,노아와의 관계는 무엇입니까?,Jaki jest twój związek z Noem?,Qual é a sua relação com Noah?,Какие у вас отношения с Ноем?,Noah ile ilişkiniz nedir?,您与诺亚有什么关系？,您與諾亞有什麼關係？
dialog_trader_response_theduke_leader,Quest,Dialogs,,,How did he become the boss of Navezgane?,,Wie wurde er der Chef von Navezgane?,¿Cómo se convirtió en el jefe de Navezgane?,Comment est-il devenu le patron de Navezgane?,Come è diventato il capo di Navezgane?,彼はどのようにしてナベズガネのボスになったのですか？,그는 어떻게 Navezgane의 보스가 되었습니까?,Jak został szefem Navezgane?,Como ele se tornou o chefe de Navezgane?,Как он стал боссом Навезганэ?,Navezgane'nin patronu nasıl oldu?,他是如何成为Navezgane的老板的？,他是如何成為Navezgane的老闆的？
dialog_trader_response_theduke_name,Quest,Dialogs,,,Why is he called The Duke?,,Warum heißt er der Herzog?,¿Por qué se llama El Duque?,Pourquoi s'appelle-t-il le duc?,Perché si chiama The Duke?,なぜ彼はデュークと呼ばれるのですか？,왜 그가 The Duke라고 부르나요?,Dlaczego nazywa się Duke?,Por que ele é chamado de duque?,Почему его называют герцогом?,Neden Dük deniyor?,他为什么叫公爵？,他為什麼叫公爵？
dialog_trader_response_theduke_relationship,Quest,Dialogs,,,What is your relationship with the Duke?,,In welcher Beziehung stehen Sie zum Herzog?,¿Cuál es tu relación con el duque?,Quelle est votre relation avec le duc?,Qual è il tuo rapporto con il Duca?,デュークとの関係は？,듀크와의 관계는 어떻습니까?,Jaki jest twój związek z księciem?,Qual é a sua relação com o duque?,Какие у вас отношения с герцогом?,Dük ile ilişkiniz nedir?,您与公爵有什么关系？,您與公爵有什麼關係？
